title,abstract,source_url,target_url,authority,authority_url
Adressen WMS,"Service Adressen, gevuld met relevante objecten uit de Basisregistratie Adressen en Gebouwen (BAG), beheerd door het Kadaster.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/4074b3c3-ca85-45ad-bc0d-b5fca8540z0b,https://service.pdok.nl/kadaster/adressen/wms/v1_0?request=GetCapabilities&service=WMS,Kadaster,https://www.kadaster.nl
Adressen,"Service Adressen, gevuld met relevante objecten uit de Basisregistratie Adressen en Gebouwen (BAG), beheerd door het Kadaster.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/4074b3c3-ca85-45ad-bc0d-b5fca8540z0b,https://service.pdok.nl/kadaster/adressen/wms/v1_0?request=GetCapabilities&service=WMS,Kadaster,https://www.kadaster.nl
Adresses (INSPIRE geharmoniseerd) WMS,"INSPIRE Adressen themalaag, gevuld met relevante objecten uit de Basisregistratie Adressen en Gebouwen (BAG), beheerd door het Kadaster.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/5117ebc1-5a63-439b-b3ca-43b80be804fb,https://service.pdok.nl/kadaster/ad/wms/v1_0?request=GetCapabilities&service=WMS,kadaster,https://www.kadaster.nl
Addresses,"Address, geharmoniseerd voor INSPIRE",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/5117ebc1-5a63-439b-b3ca-43b80be804fb,https://service.pdok.nl/kadaster/ad/wms/v1_0?request=GetCapabilities&service=WMS,kadaster,https://www.kadaster.nl
BAG WMS,"Deze service wordt dagelijks geactualiseerd. De gegevens bestaan uit BAG-panden, een deelselectie van BAG-gegevens van deze panden en de verblijfsobjecten die zich hierin bevinden. De ligplaatsen en standplaatsen zijn hierin ook opgenomen met een deelselectie van BAG-gegevens. Nummeraanduidingen (en de bijhorende Nummeraanduidingidentificaties) worden in de WFS niet opgenomen als een losstaand object. De gegevens van de nummeraanduidingen zijn in deze services onderdeel van de adresseerbare objecten. Hierbij wordt alleen het hoofdadres opgenomen. Objecten met meerdere adressen (hoofd- en nevenadressen) zijn dus niet compleet. Dit betekent dat niet alle BAG adressen zijn opgenomen. Als u behoefte heeft aan de volledige BAG gegevens adviseren wij u gebruik te maken van andere BAG producten. De BAG API Individuele bevragingen https://www.kadaster.nl/zakelijk/producten/adressen-en-gebouwen/bag-api-individuele-bevragingen bevat alle BAG gegevens. Dit geldt ook voor de BAG viewer https://bagviewer.kadaster.nl/lvbag/bag-viewer/ en het BAG 2.0 Extract https://www.kadaster.nl/zakelijk/producten/adressen-en-gebouwen/bag-2.0-extract. Als u wilt nagaan welk BAG product het beste aansluit bij uw behoefte, raadpleeg dan de beslisboom voor BAG 2.0 producten: https://www.kadaster.nl/-/beslisboom-bag-2.0-producten.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/9e2e977a-16a6-42a4-a208-c4f70704f383,https://service.pdok.nl/lv/bag/wms/v2_0?request=getCapabilities&service=WMS,Kadaster,http://www.kadaster.nl
Pand,pand,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/9e2e977a-16a6-42a4-a208-c4f70704f383,https://service.pdok.nl/lv/bag/wms/v2_0?request=getCapabilities&service=WMS,Kadaster,http://www.kadaster.nl
Ligplaats,ligplaats,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/9e2e977a-16a6-42a4-a208-c4f70704f383,https://service.pdok.nl/lv/bag/wms/v2_0?request=getCapabilities&service=WMS,Kadaster,http://www.kadaster.nl
Standplaats,standplaats,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/9e2e977a-16a6-42a4-a208-c4f70704f383,https://service.pdok.nl/lv/bag/wms/v2_0?request=getCapabilities&service=WMS,Kadaster,http://www.kadaster.nl
Verblijfsobject,verblijfsobject,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/9e2e977a-16a6-42a4-a208-c4f70704f383,https://service.pdok.nl/lv/bag/wms/v2_0?request=getCapabilities&service=WMS,Kadaster,http://www.kadaster.nl
Woonplaats,woonplaats,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/9e2e977a-16a6-42a4-a208-c4f70704f383,https://service.pdok.nl/lv/bag/wms/v2_0?request=getCapabilities&service=WMS,Kadaster,http://www.kadaster.nl
BAG Terugmeldingen WMS,"De BAG terugmeldingenservice bevat recente meldingen op informatie uit de Basisregistratie Adressen en Gebouwen (BAG) waarover twijfel bestaat. De service toont de locatie, inhoud en status van de meldingen. Ook een vermoedelijke fout geconstateerd? Doe een melding op https://bagviewer.kadaster.nl/ of https://verbeterdekaart.kadaster.nl",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/6a0f8932-78dc-42e9-b9e0-a62fbc2d62c1,https://service.pdok.nl/lv/bag/terugmeldingen/wms/v1_0?request=getcapabilities&service=wms,kadaster,http://www.kadaster.nl
BAG Terugmeldingen,Alle recente BAG terugmeldingen gedaan door BAG gebruikers.,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/6a0f8932-78dc-42e9-b9e0-a62fbc2d62c1,https://service.pdok.nl/lv/bag/terugmeldingen/wms/v1_0?request=getcapabilities&service=wms,kadaster,http://www.kadaster.nl
BGT Terugmeldingen WMS,"De BGT terugmeldingenservice bevat alle recente meldingen op BGT objecten waar twijfel over de juistheid bestaat.De service toont de locatie, inhoud en status van de meldingen. Ook een vermoedelijke fout in de BGT geconstateerd? Doe een melding op https://verbeterdekaart.kadaster.nl",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/ed566b22-a8a0-4d16-b12c-5fb76db01e24,https://service.pdok.nl/lv/bgt/terugmeldingen/wms/v1_0?request=getcapabilities&service=wms,lv-bag,http://www.lv-bag.nl
BGT Terugmeldingen,Alle recente BGT terugmeldingen gedaan door BGT gebruikers.,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/ed566b22-a8a0-4d16-b12c-5fb76db01e24,https://service.pdok.nl/lv/bgt/terugmeldingen/wms/v1_0?request=getcapabilities&service=wms,lv-bag,http://www.lv-bag.nl
BRO - Bodemkundig booronderzoek (BHR-P) - Bodem (INSPIRE geharmoniseerd),"Deze dataset bevat de naar INSPIRE thema Bodem geharmoniseerde gegevens over een bodemkundig booronderzoek, die voortkomen uit een bodemkundig georienteerde boring. In veel gevallen bestaat het bodemkundig booronderzoek uit niet meer dan een boormonsterprofiel. In het meest uitgebreide geval omvat het booronderzoek ook de resultaten van boormonsteronderzoek en boorgatmeetgegevens. Het boormonsterprofiel komt tot stand door de samenstelling van de monsters uit een booronderzoek macroscopisch te beschrijven.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/57af3675-efc5-453b-bd66-c9be4a4a0c16,https://service.pdok.nl/bzk/bodem/bro-bodemkundig-booronderzoek/wms/v1_0?request=GetCapabilities&service=WMS,bzk,https://www.rijksoverheid.nl/contact/contactformulier
Observed Soil Profile,"Deze dataset bevat de naar INSPIRE thema Bodem geharmoniseerde gegevens over een bodemkundig booronderzoek, die voortkomen uit een bodemkundig georienteerde boring. In veel gevallen bestaat het bodemkundig booronderzoek uit niet meer dan een boormonsterprofiel. In het meest uitgebreide geval omvat het booronderzoek ook de resultaten van boormonsteronderzoek en boorgatmeetgegevens. Het boormonsterprofiel komt tot stand door de samenstelling van de monsters uit een booronderzoek macroscopisch te beschrijven.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/57af3675-efc5-453b-bd66-c9be4a4a0c16,https://service.pdok.nl/bzk/bodem/bro-bodemkundig-booronderzoek/wms/v1_0?request=GetCapabilities&service=WMS,bzk,https://www.rijksoverheid.nl/contact/contactformulier
BRO - Bodemkundig booronderzoek (BHR-P) - Geologie (INSPIRE geharmoniseerd),"Deze dataset bevat de naar INSPIRE thema Geologie geharmoniseerde gegevens over een bodemkundig booronderzoek, die voortkomen uit een bodemkundig georienteerde boring. In veel gevallen bestaat het bodemkundig booronderzoek uit niet meer dan een boormonsterprofiel. In het meest uitgebreide geval omvat het booronderzoek ook de resultaten van boormonsteronderzoek en boorgatmeetgegevens. Het boormonsterprofiel komt tot stand door de samenstelling van de monsters uit een booronderzoek macroscopisch te beschrijven.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/ff0f3779-25cc-4150-ae3c-ec885388c59e,https://service.pdok.nl/bzk/geologie/bro-bodemkundig-booronderzoek/wms/v1_0?request=GetCapabilities&service=WMS,bzk,https://www.rijksoverheid.nl/contact/contactformulier
Booronderzoek bhr-p (INSPIRE geharmoniseerd),"Deze dataset bevat de naar INSPIRE thema Geologie geharmoniseerde gegevens over een bodemkundig booronderzoek, die voortkomen uit een bodemkundig georienteerde boring. In veel gevallen bestaat het bodemkundig booronderzoek uit niet meer dan een boormonsterprofiel. In het meest uitgebreide geval omvat het booronderzoek ook de resultaten van boormonsteronderzoek en boorgatmeetgegevens. Het boormonsterprofiel komt tot stand door de samenstelling van de monsters uit een booronderzoek macroscopisch te beschrijven.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/ff0f3779-25cc-4150-ae3c-ec885388c59e,https://service.pdok.nl/bzk/geologie/bro-bodemkundig-booronderzoek/wms/v1_0?request=GetCapabilities&service=WMS,bzk,https://www.rijksoverheid.nl/contact/contactformulier
BRO - Geotechnisch booronderzoek (BHR-GT) - Geologie (INSPIRE geharmoniseerd) WMS,Een geotechnische boormonsteranalyse analyseert een geologisch boormonster. De analyse geeft belangrijke informatie over onder meer de draagkracht van de ondergrond.,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/45c40b3a-6212-4227-b939-496a5ce95734,https://service.pdok.nl/bzk/geologie/bro-geotechnisch-booronderzoek/wms/v1_0?request=getcapabilities&service=wms,bzk,https://www.rijksoverheid.nl/contact/contactformulier
Boreholes,Een geotechnische boormonsteranalyse analyseert een geologisch boormonster. De analyse geeft belangrijke informatie over onder meer de draagkracht van de ondergrond.,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/45c40b3a-6212-4227-b939-496a5ce95734,https://service.pdok.nl/bzk/geologie/bro-geotechnisch-booronderzoek/wms/v1_0?request=getcapabilities&service=wms,bzk,https://www.rijksoverheid.nl/contact/contactformulier
BRO - Geotechnisch sondeeronderzoek (CPT) - Geologie (INSPIRE geharmoniseerd) WMS,"Gegevens van geotechnisch sondeeronderzoek (kenset) zoals opgeslagen in de Basis Registratie Ondergrond (BRO). Geotechnisch sondeeronderzoek (in het Engels Cone Penetration Test, afgekort tot CPT) is onderzoek dat tot doel heeft informatie over de bodemkundige of geologische opbouw van de ondergrond te verwerven, waarbij in het veld metingen aan de ondergrond worden gedaan door een kegelvormige sonde de grond in te drukken. Traditioneel is het doel met de sonde de weerstand en de wrijving die de conus op de weg naar beneden ondervind te bepalen om daaruit mechanische eigenschappen van de ondergrond af te leiden. In de loop van de tijd is de sonde zo geevolueerd dat een breed scala aan metingen verricht kan worden. Voor meer informatie raadpleeg www.basisregistratieondergrond.nl",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/54361b1e-ccea-4121-9616-fcdc9e5f2877,https://service.pdok.nl/bzk/geologie/bro-geotechnisch-sondeeronderzoek/wms/v1_0?request=GetCapabilities&service=WMS,bzk,https://www.rijksoverheid.nl/contact/contactformulier
BRO - Geotechnisch sondeeronderzoek (CPT) - Geologie (INSPIRE geharmoniseerd),"Gegevens van geotechnisch sondeeronderzoek (kenset) zoals opgeslagen in de Basis Registratie Ondergrond (BRO). Geotechnisch sondeeronderzoek (in het Engels Cone Penetration Test, afgekort tot CPT) is onderzoek dat tot doel heeft informatie over de bodemkundige of geologische opbouw van de ondergrond te verwerven, waarbij in het veld metingen aan de ondergrond worden gedaan door een kegelvormige sonde de grond in te drukken. Traditioneel is het doel met de sonde de weerstand en de wrijving die de conus op de weg naar beneden ondervind te bepalen om daaruit mechanische eigenschappen van de ondergrond af te leiden. In de loop van de tijd is de sonde zo geevolueerd dat een breed scala aan metingen verricht kan worden. Voor meer informatie raadpleeg www.basisregistratieondergrond.nl",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/54361b1e-ccea-4121-9616-fcdc9e5f2877,https://service.pdok.nl/bzk/geologie/bro-geotechnisch-sondeeronderzoek/wms/v1_0?request=GetCapabilities&service=WMS,bzk,https://www.rijksoverheid.nl/contact/contactformulier
BRO - Grondwatermonitoring (GM) in samenhang - karakteristieken WMS,"Deze dataset bevat de gegevens van nederlandse grondwatermonitoring afkomstig uit de Basisregistratie Ondergrond (BRO). Het betreft de meest karakteristieke (ken)gegevens van grondwatermonitoringputten en de daarmee samenhangende kengegevens van de grondwatermonitoringnetten waarvoor die putten zijn gebruikt, plus de karakteristieken van in die putten gemeten grondwaterstands- en grondwatersamenstellingsgegevens. Grondwatermonitoring houdt in dat de toestand van het grondwater in een bepaald gebied, of eigenlijk in een bepaald deel van de ondergrond, over langere tijd gevolgd wordt. De grootte van het gebied en de diepte van monitoring verschillen per grondwatermonitoringnet. Er wordt daarbij gekeken naar de grondwaterstand (kwantiteit) en/of naar de samenstelling van het grondwater (kwaliteit). Hiervoor worden periodiek metingen uitgevoerd. Een beschrijving van deze dataset is opgenomen op de BRO Productomgeving: https://www.bro-productomgeving.nl/bpo/latest/uitgifte-grondwatermonitoring-gm-in-samenhang.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/20212ffa-b2c5-412c-a9f4-805454088182,https://service.pdok.nl/bzk/bro-gminsamenhang-karakteristieken/wms/v1_0?request=getCapabilities&service=wms,bzk,https://www.rijksoverheid.nl/contact/contactformulier
Grondwatermonitoringput (GMW),"De locatie en meest karakteristieke (ken)gegevens van nederlandse grondwatermonitoringputten (GMW) uit de Basisregistratie Ondergrond (BRO). Een grondwatermonitoringput is een werk dat in een geboord gat is gerealiseerd om gedurende langere tijd veranderingen in het grondwater in een specifiek deel van de ondergrond te kunnen registreren. Gewoonlijk bestaat een put uit 1 of meerdere monitoringsbuizen die aan het oppervlak door een constructie worden beschermd. De GMW gegevenscatalogus is opgenomen op de BRO Productomgeving: https://www.bro-productomgeving.nl/bpo/latest/catalogus-gmw. Hier vindt men ook de gegevensdefinitie, met daarin onder andere een omschrijving van alle entiteiten en attributen.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/20212ffa-b2c5-412c-a9f4-805454088182,https://service.pdok.nl/bzk/bro-gminsamenhang-karakteristieken/wms/v1_0?request=getCapabilities&service=wms,bzk,https://www.rijksoverheid.nl/contact/contactformulier
GMW - Monitoringbuis,"De meest karakteristieke (ken)gegevens van de monitoringbuizen van nederlandse grondwatermonitoringputten (GMW) uit de Basisregistratie Ondergrond (BRO). Bij een put met meerdere monitoringbuizen worden de gegevens per monitoringbuis weergegeven. De GMW gegevenscatalogus is opgenomen op de BRO Productomgeving: https://www.bro-productomgeving.nl/bpo/latest/catalogus-gmw. Hier vindt men ook de gegevensdefinitie, met daarin onder andere een omschrijving van alle entiteiten en attributen.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/20212ffa-b2c5-412c-a9f4-805454088182,https://service.pdok.nl/bzk/bro-gminsamenhang-karakteristieken/wms/v1_0?request=getCapabilities&service=wms,bzk,https://www.rijksoverheid.nl/contact/contactformulier
Grondwatermonitoringnet (GMN),"De meest karakteristieke (ken)gegevens van nederlandse grondwatermonitoringnetten (GMN) uit de Basisregistratie Ondergrond (BRO). Een grondwatermonitoringnet is een verzameling meetpunten (gevormd door monitoringbuizen van grondwatermonitoringputten (GMW)), waarin onderzoek wordt gedaan om de toestand van het grondwater te kunnen bepalen en veranderingen erin te kunnen monitoren.De GMN gegevenscatalogus is opgenomen op de BRO Productomgeving: https://www.bro-productomgeving.nl/bpo/latest/catalogus-gmn. Hier vindt men ook de gegevensdefinitie, met daarin onder andere een omschrijving van alle entiteiten en attributen.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/20212ffa-b2c5-412c-a9f4-805454088182,https://service.pdok.nl/bzk/bro-gminsamenhang-karakteristieken/wms/v1_0?request=getCapabilities&service=wms,bzk,https://www.rijksoverheid.nl/contact/contactformulier
Grondwaterstandonderzoek (GLD),"De meest karakteristieke (ken)gegevens van grondwaterstandonderzoeken (GLD) uit de Basisregistratie Ondergrond (BRO), gemeten in meetpunten van nederlandse grondwatermonitoringnetten (GMN).Een meetpunt vertegenwoordigt één monitoringbuis van een grondwatermonitoringput (GMW). De GLD gegevenscatalogus is opgenomen op de BRO Productomgeving: https://www.bro-productomgeving.nl/bpo/latest/catalogus-gld. Hier vindt men ook de gegevensdefinitie, met daarin onder andere een omschrijving van alle entiteiten en attributen.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/20212ffa-b2c5-412c-a9f4-805454088182,https://service.pdok.nl/bzk/bro-gminsamenhang-karakteristieken/wms/v1_0?request=getCapabilities&service=wms,bzk,https://www.rijksoverheid.nl/contact/contactformulier
GMN - Meetpunt,"De meest karakteristieke (ken)gegevens van afzonderlijke meetpunten van nederlandse grondwatermonitoringnetten (GMN) uit de Basisregistratie Ondergrond (BRO). Een meetpunt wordt gevormd door één monitoringbuis van een grondwatermonitoringput (GMW) waarin onderzoek wordt gedaan om de toestand van het grondwater te kunnen bepalen en veranderingen erin te kunnen monitoren. De GMN gegevenscatalogus is opgenomen op de BRO Productomgeving: https://www.bro-productomgeving.nl/bpo/latest/catalogus-gmn. Hier vindt men ook de gegevensdefinitie, met daarin onder andere een omschrijving van alle entiteiten en attributen.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/20212ffa-b2c5-412c-a9f4-805454088182,https://service.pdok.nl/bzk/bro-gminsamenhang-karakteristieken/wms/v1_0?request=getCapabilities&service=wms,bzk,https://www.rijksoverheid.nl/contact/contactformulier
GM - Verwijzing naar GMN ,"In de gegevensdefinitie van de registratieobjecten grondwaterstandonderzoek (GLD), grondwatersamenstellingsonderzoek (GAR) en formatieweerstand onderzoek (FRD) is een verwijzing opgenomen naar een grondwatermonitoringnet (GMN). In deze tabel/laag is deze verwijzing vastgelegd.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/20212ffa-b2c5-412c-a9f4-805454088182,https://service.pdok.nl/bzk/bro-gminsamenhang-karakteristieken/wms/v1_0?request=getCapabilities&service=wms,bzk,https://www.rijksoverheid.nl/contact/contactformulier
Grondwatersamenstellingsonderzoek (GAR),"De meest karakteristieke (ken)gegevens van grondwatersamenstellingsonderzoeken (GAR) uit de Basisregistratie Ondergrond (BRO), gemeten in meetpunten van nederlandse grondwatermonitoringnetten (GMN). Een meetpunt vertegenwoordigt één monitoringbuis van een grondwatermonitoringput (GMW). De GAR gegevenscatalogus is opgenomen op de BRO Productomgeving: https://www.bro-productomgeving.nl/bpo/latest/catalogus-gar. Hier vindt men ook de gegevensdefinitie, met daarin onder andere een omschrijving van alle entiteiten en attributen.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/20212ffa-b2c5-412c-a9f4-805454088182,https://service.pdok.nl/bzk/bro-gminsamenhang-karakteristieken/wms/v1_0?request=getCapabilities&service=wms,bzk,https://www.rijksoverheid.nl/contact/contactformulier
BRO - Grondwatermonitoringput (GMW) - Geologie (INSPIRE geharmoniseerd) WMS,"Deze dataset bevat gegevens van nederlandse grondwatermonitoringputten uit de Basisregistratie Ondergrond (BRO), geharmoniseerd naar de INSPIRE dataset specificaties voor hydrogeologie.Een grondwatermonitoringput is een constructie in de ondergrond om gedurende langere tijd grondwaterstand- of grondwaterkwaliteitveranderingen in een specifiek deel van de ondergrond te kunnen monitoren. Gewoonlijk bestaat een put uit een of meerdere monitoringsbuizen met aan de onderkant een filter. De put wordt aan het oppervlak door een afsluitconstructie beschermd.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/8d3a1f10-7719-4944-ab87-9057198bcdd7,https://service.pdok.nl/bzk/geologie/bro-grondwatermonitoringput/wms/v1_0?request=getcapabilities&service=WMS,bzk,https://www.rijksoverheid.nl/contact/contactformulier
Active Wells,"Deze dataset bevat gegevens van nederlandse grondwatermonitoringputten uit de Basisregistratie Ondergrond (BRO), geharmoniseerd naar de INSPIRE dataset specificaties voor hydrogeologie.Een grondwatermonitoringput is een constructie in de ondergrond om gedurende langere tijd grondwaterstand- of grondwaterkwaliteitveranderingen in een specifiek deel van de ondergrond te kunnen monitoren. Gewoonlijk bestaat een put uit een of meerdere monitoringsbuizen met aan de onderkant een filter. De put wordt aan het oppervlak door een afsluitconstructie beschermd.",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/8d3a1f10-7719-4944-ab87-9057198bcdd7,https://service.pdok.nl/bzk/geologie/bro-grondwatermonitoringput/wms/v1_0?request=getcapabilities&service=WMS,bzk,https://www.rijksoverheid.nl/contact/contactformulier
BRO - Wandonderzoek (SFR) - Bodem (INSPIRE geharmoniseerd) WMS,Wandonderzoek onderzoekt de bodemkundige opbouw van de ondergrond door een ontgraving. Dit onderzoek wordt voornamelijk ingezet om de toepassing van de bodem te kunnen beoordelen voor landbouw of natuurbeheer.,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/bc4277fe-7d0b-4d5e-9782-cccb1753f5f5,https://service.pdok.nl/bzk/bodem/bro-wandonderzoek/wms/v1_0?request=getcapabilities&service=WMS,bzk,https://www.rijksoverheid.nl/contact/contactformulier
BRO - Wandonderzoek (SFR) - Bodem (INSPIRE geharmoniseerd),Wandonderzoek onderzoekt de bodemkundige opbouw van de ondergrond door een ontgraving. Dit onderzoek wordt voornamelijk ingezet om de toepassing van de bodem te kunnen beoordelen voor landbouw of natuurbeheer.,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/bc4277fe-7d0b-4d5e-9782-cccb1753f5f5,https://service.pdok.nl/bzk/bodem/bro-wandonderzoek/wms/v1_0?request=getcapabilities&service=WMS,bzk,https://www.rijksoverheid.nl/contact/contactformulier
BRO Bodemkaart (SGM) WMS,"De bodemkaart van Nederland, schaal 1:50.000, geeft ruimtelijke informatie over de bodemopbouw tot globaal 1,2 meter diepte",https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/d9cc67ba-5491-4640-86ac-b8d392250270,https://service.pdok.nl/bzk/bro-bodemkaart/wms/v1_0?request=getCapabilities&service=WMS,bzk,http://www.wur.nl
Bodemvlakken,Een begrensd gebied als onderdeel van de bodemkaart (het bodemkundig model) van de Nederlandse bodem met een bodemkundige beschrijving,https://nationaalgeoregister.nl/geonetwork/srv/dut/catalog.search#/metadata/d9cc67ba-5491-4640-86ac-b8d392250270,https://service.pdok.nl/bzk/bro-bodemkaart/wms/v1_0?request=getCapabilities&service=WMS,bzk,http://www.wur.nl
